episode_id,match_id,competition_name,possession_origin_pattern,restart_event_type,restart_event_timestamp,restart_location,turnover_event_type,turnover_event_timestamp,turnover_location,elapsed_time_restart_to_turnover,num_events_between,num_successful_passes,events_sequence_summary,initiation_event_type,initiation_timestamp,initiation_location,counterpressing_team,possession_team,turnover_context
3902239_p99_5aba54be,3902239,Women's World Cup,From Throw In,Pass,00:07:47.049,"[96.3, 80.0]",Duel,00:07:51.448,"[43.2, 19.8]",4.399,12,3,Pass -> Ball Receipt* -> Pressure -> Pass -> Ball Receipt* -> Carry ... (+6 more),Pressure,00:07:55.214,"[68.7, 60.7]",Sweden Women's,Sweden Women's,ambiguous
3835323_p94_0bbd96bd,3835323,UEFA Women's Euro,From Throw In,Pass,00:45:07.918,"[53.6, 0.1]",Interception,00:45:15.742,"[57.5, 40.1]",7.824,13,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Pressure -> Pass ... (+7 more),Pressure,00:45:18.412,"[53.3, 37.9]",Portugal Women's,Portugal Women's,ambiguous
3877072_p100_5fd2e209,3877072,Major League Soccer,From Throw In,Pass,00:08:39.272,"[83.1, 0.1]",Block,00:08:42.008,"[38.6, 71.4]",2.736,8,2,Pass -> Ball Receipt* -> Pass -> Ball Receipt* -> Carry -> Pass ... (+2 more),Pressure,00:08:44.341,"[76.8, 10.8]",Inter Miami,Inter Miami,immediate_restart_phase
3893834_p33_c136cfeb,3893834,Women's World Cup,From Throw In,Pass,00:15:04.900,"[83.8, 80.0]",Interception,00:15:07.502,"[24.4, 9.1]",2.602,7,2,Pass -> Ball Receipt* -> Pass -> Ball Receipt* -> Pass -> Ball Receipt* ... (+1 more),Pressure,00:15:08.687,"[81.1, 66.6]",Morocco Women's,Morocco Women's,immediate_restart_phase
4018357_p71_3ff5a80b,4018357,UEFA Women's Euro,From Throw In,Pass,00:40:55.683,"[77.8, 80.0]",Ball Recovery,00:40:56.951,"[28.4, 10.1]",1.268,2,0,Pass -> Ball Recovery,Pressure,00:40:58.945,"[86.8, 77.2]",Germany Women's,Germany Women's,immediate_restart_phase
3893807_p124_4dc8a903,3893807,Women's World Cup,From Throw In,Pass,00:17:28.593,"[63.7, 80.0]",Interception,00:17:29.460,"[59.2, 14.9]",0.867,3,0,Pass -> Ball Receipt* -> Interception,Pressure,00:17:30.992,"[56.2, 66.0]",Republic of Ireland Women's,Republic of Ireland Women's,immediate_restart_phase
3895074_p137_aa065eec,3895074,1. Bundesliga,From Throw In,Pass,00:20:57.414,"[42.0, 80.0]",Duel,00:20:59.680,"[70.7, 1.2]",2.266,6,1,Pass -> Ball Receipt* -> Carry -> Pressure -> Dispossessed -> Duel,Pressure,00:21:01.793,"[49.4, 78.7]",Bayer Leverkusen,Bayer Leverkusen,immediate_restart_phase
3930168_p44_93fa39f7,3930168,UEFA Euro,From Throw In,Pass,00:27:06.405,"[34.0, 0.1]",Pass,00:27:08.245,"[66.9, 66.4]",1.84,2,0,Pass -> Pass,Pressure,00:27:09.868,"[45.4, 9.9]",Hungary,Hungary,immediate_restart_phase
3893816_p134_3ce9c23f,3893816,Women's World Cup,From Throw In,Pass,00:16:29.034,"[95.2, 0.1]",Interception,00:16:38.360,"[27.4, 72.2]",9.326,13,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Pressure -> Pressure ... (+7 more),Pressure,00:16:39.557,"[86.7, 8.7]",Panama Women's,Panama Women's,ambiguous
3893802_p29_2dffa4e2,3893802,Women's World Cup,From Throw In,Pass,00:12:32.717,"[90.9, 0.1]",Duel,00:12:33.703,"[19.4, 77.9]",0.986,6,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Dispossessed -> Duel,Pressure,00:12:33.987,"[99.3, 3.0]",Korea Republic Women's,Korea Republic Women's,immediate_restart_phase
